"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29629","Sort products by prices high to low","chromium","2026-02-21","failed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","30439","Add all produtcs to the cart","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","34018","Sort products by prices low to high","chromium","2026-02-21","failed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","28171","Sort products by name AtoZ","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","13260","Validate Checkout Page","chromium","2026-02-21","failed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","52858","Validate cart page with multiple products add","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","34141","Validate specific product added to cart","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","4064","Validate Cotinue Shopping Functionality","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","29482","Validate cart page with single product addded","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","7000","Validate Checkout Page","webkit","2026-02-21","passed","2026-02-21","SauceDemo Page","SauseDemo.spec.ts","",""
"","51218","Validate adding all products to the cart by product name","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","55288","SauceDemo About Page","chromium","2026-02-21","failed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","12395","Validate Remove Product Functionality","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","27612","Validate adding a specific product to the cart","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","24252","Sort products by name ZtoA","chromium","2026-02-21","failed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
"","27559","SauceDemo test products validation","chromium","2026-02-21","passed","2026-02-21","SauceDemo Page","SauceDemo.spec.ts","",""
